Temperature,E,Esquared,Binder,C1,C1fluc,C2,C2fluc,C3,C3fluc,Cv
1.7,-5.32035,34.6099,0.35118,3.19875,4.11602,0.96135,2.77713,1.27246,0.292552,2.18123
1.71,-5.47664,37.2035,0.312838,3.4724,5.00886,0.856213,2.31574,1.25832,0.304668,2.46566
1.72,-5.37285,35.4614,0.343776,3.11946,3.81592,1.0854,3.06266,1.28479,0.323984,2.22886
1.73,-5.49784,37.2821,0.321408,3.14294,4.01586,1.19964,3.17241,1.27656,0.336026,2.35754
1.74,-5.43129,36.2847,0.333435,3.21304,3.9386,1.04876,2.75638,1.28355,0.318024,2.2413
1.75,-5.14136,32.1731,0.341836,3.02789,3.72996,0.952175,2.35654,1.27051,0.30711,1.87412
1.76,-5.32785,35.0245,0.315737,3.19169,4.05229,0.965962,2.51065,1.28167,0.317834,2.14312
1.77,-5.30622,34.8533,0.314651,3.20869,4.16119,0.946438,2.61597,1.25619,0.293655,2.13772
1.78,-5.20899,33.1583,0.334921,3.00382,3.63521,1.03149,2.64425,1.30658,0.328612,1.90152
1.79,-5.41443,36.146,0.322348,3.03774,3.61856,1.21724,3.23432,1.26905,0.299662,2.13162
1.8,-5.17278,32.8453,0.306862,2.9073,3.51188,1.10536,3.06689,1.27133,0.293408,1.87892
1.81,-5.24513,33.4633,0.352045,3.03426,3.55801,1.06733,2.75127,1.24242,0.286455,1.81678
1.82,-5.0697,31.6577,0.303462,3.06,3.73822,0.8693,2.30064,1.23524,0.262076,1.79804
1.83,-5.22143,33.4052,0.336314,3.06399,3.83692,1.00285,2.40729,1.25638,0.289772,1.83399
1.84,-5.15374,32.5468,0.31109,3.20133,4.03797,0.775338,2.01209,1.29861,0.329293,1.76802
1.85,-5.07274,31.5817,0.318614,3.1048,3.84772,0.83045,2.22563,1.25286,0.272873,1.70898
1.86,-5.20685,33.7043,0.299514,3.07719,3.92818,0.968175,2.77446,1.27934,0.326258,1.90571
1.87,-5.08659,31.7437,0.328156,3.0055,3.63207,0.9122,2.28292,1.29166,0.322545,1.6787
1.88,-5.06111,31.5183,0.333073,3.06164,3.69344,0.84375,2.26369,1.26699,0.328155,1.6703
1.89,-4.97165,30.3758,0.326372,2.88822,3.40521,0.905763,2.24368,1.29087,0.327442,1.58408
1.9,-5.24816,33.6363,0.332085,3.07733,3.54227,1.00286,2.50938,1.28114,0.330049,1.68785
1.91,-5.23483,33.1808,0.357796,3.10175,3.71107,0.9649,2.46817,1.2839,0.316126,1.58364
1.92,-4.71008,27.0593,0.32943,2.7557,3.08754,0.78175,2.05354,1.29815,0.369607,1.32227
1.93,-4.89666,29.1046,0.347079,2.9053,3.35441,0.832975,1.99073,1.26746,0.330426,1.3765
1.94,-4.94551,30.3769,0.273577,2.95216,3.78005,0.832825,2.18758,1.28465,0.304749,1.57264
1.95,-5.04355,31.249,0.299525,2.88534,3.28437,1.00999,2.60269,1.26584,0.310543,1.52836
1.96,-4.87523,29.2912,0.301041,2.84001,3.36974,0.85475,2.20663,1.30159,0.362007,1.43777
1.97,-4.90281,29.3991,0.337164,2.97334,3.40968,0.781675,2.04878,1.25267,0.28848,1.38151
1.98,-4.97311,30.4192,0.306186,2.77845,3.14809,1.0265,2.5163,1.29639,0.334442,1.45072
1.99,-4.96536,30.0648,0.331591,2.98964,3.60948,0.821325,2.06848,1.27035,0.302111,1.36611
2,-4.89026,29.0892,0.353572,2.86835,3.22737,0.856463,2.19546,1.27569,0.308234,1.29364
