Temperature,E,Esquared,Binder,C1,C1fluc,C2,C2fluc,C3,C3fluc,Cv
0.01,-100,10000,0.666667,20,0,20,0,20,0,0
0.02,-99.9996,9999.93,0.666667,20,0,20,0,20,0,0.145527
0.03,-99.9915,9998.31,0.666666,20,0,20,0,20,0,1.52367
0.04,-99.975,9995,0.666666,20,0,20,0,20,0,2.59149
0.05,-99.9357,9987.15,0.666665,20,0,20,0,20,0,4.26965
0.06,-99.8948,9978.99,0.666664,20,0,20,0,20,0,5.1408
0.07,-99.8517,9970.38,0.666663,20,0,20,0,20,0,5.17724
0.08,-99.7904,9958.16,0.666662,20,0,20,0,20,0,5.31892
0.09,-99.7291,9945.93,0.66666,20,0,20,0,19.9995,0.00049975,5.89765
0.1,-99.6762,9935.4,0.666659,20,0,20,0,19.9999,6.24961e-05,5.70019
0.11,-99.6214,9924.5,0.666658,20,0,20,0,19.9984,0.0015476,5.37482
0.12,-99.5732,9914.89,0.666657,20,0,20,0,19.9995,0.000462286,5.17617
0.13,-99.5197,9904.26,0.666654,20,0,20,0,19.996,0.003984,5.50831
0.14,-99.472,9894.77,0.666653,20,0,20,0,19.994,0.0059393,5.35506
0.15,-99.4095,9882.38,0.66665,20,0,20,0,19.9908,0.00910309,5.51924
0.16,-99.3644,9873.42,0.666649,20,0,20,0,19.9825,0.0180179,5.23392
0.17,-99.304,9861.44,0.666645,20,0,20,0,19.9734,0.0258451,5.51684
0.18,-99.2564,9852.03,0.666641,20,0,20,0,19.9635,0.0379909,5.97663
0.19,-99.205,9841.85,0.666638,20,0,19.9995,0.00049975,19.959,0.0421325,5.88652
0.2,-98.7467,9751.17,0.666631,20,0,20,0,19.825,0.153667,6.53785
0.21,-98.7474,9751.36,0.666624,20,0,19.9995,0.00049975,19.8776,0.137805,7.11102
0.22,-95.0201,9030.21,0.666462,19.9975,0.00249375,19.9989,0.00114868,15.9504,1.17578,28.8809
0.23,-98.7534,9752.97,0.666569,19.999,0.000999,19.9995,0.00049975,19.6903,0.465417,13.7257
0.24,-97.125,9434.4,0.666508,19.9985,0.00149775,19.997,0.002991,18.0663,0.917251,19.6827
0.25,-95.3113,9086.29,0.666367,19.9965,0.00348775,19.9936,0.00638372,16.3728,2.16697,32.6757
0.26,-95.3108,9087.25,0.666211,19.9925,0.00744375,19.9919,0.00802209,16.5763,3.15448,45.8595
0.27,-95.0011,9028.46,0.666189,19.9896,0.0103408,19.9875,0.0123437,16.2937,2.92635,44.722
0.28,-95.1212,9050.55,0.666301,19.9916,0.00836631,19.9875,0.0123194,16.4495,2.56788,32.0932
0.29,-92.8953,8635.22,0.665815,19.9743,0.0250039,19.9885,0.0113311,14.5713,5.98931,67.4741
0.3,-92.2236,8514.87,0.665158,19.9806,0.0199876,19.9771,0.0253756,13.7223,10.0879,107.579
0.31,-92.3864,8545.64,0.66506,19.9766,0.0228644,19.976,0.0236966,13.8318,10.6209,108.207
0.32,-82.7061,6845.05,0.665712,19.9601,0.0403195,19.9573,0.0449288,3.15715,5.62823,46.4289
0.33,-86.7612,7539.38,0.664539,19.9264,0.0741937,19.9455,0.0567213,7.85377,15.4004,108.986
0.34,-87.8167,7728.39,0.663813,19.953,0.05015,19.9482,0.0495754,8.90881,19.9743,143.693
0.35,-85.5037,7322.1,0.664591,19.9266,0.0808018,19.9299,0.0682182,6.3962,12.4954,91.5114
0.36,-85.741,7365.07,0.664188,19.915,0.0879207,19.912,0.0867354,6.80821,16.4011,104.587
0.37,-81.76,6688.22,0.665944,19.9021,0.0976004,19.8938,0.103576,2.3345,3.58541,25.7385
0.38,-81.3334,6617.61,0.666156,19.8849,0.114446,19.878,0.125397,1.91779,1.74793,17.2743
0.39,-81.3361,6618.88,0.66599,19.8481,0.1564,19.854,0.151657,2.05658,2.61767,21.8852
0.4,-81.8304,6700.41,0.665822,19.8395,0.161689,19.8504,0.149885,2.67715,3.69954,26.2489
0.41,-80.8941,6545.79,0.666278,19.8426,0.156901,19.8123,0.189103,1.68045,0.774338,11.4771
0.42,-81.0852,6578.79,0.665855,19.7956,0.211781,19.7913,0.212098,2.056,2.81516,22.5327
0.43,-80.9268,6552.33,0.666025,19.7727,0.240171,19.7587,0.230768,2.02528,1.60354,17.1582
0.44,-80.7214,6520.3,0.665761,19.74,0.256532,19.7373,0.255577,1.90728,3.22368,22.4906
0.45,-80.1977,6434.95,0.666001,19.7049,0.314491,19.7146,0.319938,1.42384,0.808224,16.1619
0.46,-80.1684,6430.23,0.666004,19.6774,0.327929,19.6753,0.339336,1.54374,0.713812,15.3873
0.47,-80.1587,6429.43,0.665841,19.6437,0.377457,19.6505,0.356625,1.6897,1.53909,18.1889
0.48,-79.9757,6400.45,0.665779,19.6238,0.393633,19.6118,0.426795,1.59165,1.35728,18.8428
0.49,-79.7408,6362.62,0.665838,19.5927,0.399764,19.5979,0.420261,1.421,0.697459,16.7741
0.5,-79.4901,6322.93,0.665788,19.5261,0.496245,19.5577,0.466665,1.37711,0.540174,17.0386
0.51,-79.4379,6315.3,0.665654,19.5316,0.495423,19.5138,0.523786,1.4104,0.668722,18.9213
0.52,-79.5258,6330.21,0.665463,19.4771,0.563224,19.4655,0.588636,1.769,1.32801,21.6339
0.53,-78.9751,6242.52,0.665528,19.3973,0.63435,19.4373,0.631523,1.36326,0.517878,19.4499
0.54,-78.8121,6217.43,0.665393,19.3428,0.67038,19.3952,0.634142,1.406,0.753064,20.8498
0.55,-78.9256,6235.48,0.665363,19.3712,0.67862,19.3625,0.697012,1.5521,0.818936,20.6022
0.56,-78.3022,6138.26,0.665185,19.2904,0.764532,19.1696,0.902786,1.47756,1.0133,22.4055
0.57,-78.1913,6120.9,0.665173,19.2041,0.811026,19.2168,0.837541,1.42226,0.538757,21.634
0.58,-78.0783,6103.45,0.665127,19.1784,0.866598,19.2063,0.831323,1.37068,0.48175,21.507
0.59,-77.6828,6042.13,0.665045,19.1155,0.875564,19.1072,0.968963,1.29266,0.429436,21.5909
0.6,-77.5698,6025.73,0.664807,19.0747,1.05613,19.0649,1.04862,1.36384,0.66196,24.0565
0.61,-77.2622,5978.6,0.664676,18.9698,1.12141,19.0156,1.07856,1.3594,0.546782,24.6122
0.62,-76.9949,5937.57,0.664623,18.9563,1.12553,18.954,1.10466,1.22145,0.308035,24.3191
0.63,-76.8776,5919.74,0.664565,18.9296,1.14422,18.8795,1.25039,1.32515,0.471127,24.136
0.64,-76.5875,5875.78,0.664426,18.8832,1.22651,18.8139,1.26372,1.24765,0.466669,24.7324
0.65,-76.2224,5821.48,0.664093,18.7887,1.38448,18.7178,1.41232,1.25814,0.331303,27.5195
0.66,-76.1695,5814.05,0.663943,18.7405,1.44295,18.6955,1.4576,1.36871,0.507514,28.1321
0.67,-75.7427,5750.09,0.663734,18.6448,1.54613,18.6365,1.56467,1.22634,0.303134,29.2537
0.68,-75.4433,5704.97,0.663672,18.6006,1.53682,18.538,1.76766,1.21115,0.275891,28.7165
0.69,-75.2323,5673.9,0.6635,18.4566,1.76194,18.5668,1.58332,1.23365,0.304808,29.3995
0.7,-74.8707,5620.61,0.663238,18.4402,1.80447,18.4017,1.86163,1.23893,0.312515,30.5688
0.71,-74.7101,5596.78,0.663157,18.3466,1.89648,18.4046,1.85117,1.26105,0.356978,30.1198
0.72,-74.1432,5513.83,0.662772,18.2799,1.97823,18.2023,2.14432,1.22354,0.366243,32.0703
0.73,-74.1389,5513.11,0.662805,18.2274,1.99034,18.2536,1.94351,1.23249,0.272512,31.0369
0.74,-73.5094,5420.92,0.662565,18.0891,2.17035,18.0683,2.10443,1.25185,0.310497,31.5773
0.75,-73.4023,5406.12,0.662343,18.0947,2.20421,18.0104,2.29128,1.24782,0.342508,32.3833
0.76,-73.0829,5360.33,0.662063,17.9368,2.47207,18.0224,2.32837,1.21889,0.274351,33.2871
0.77,-72.5816,5288.37,0.661716,17.8212,2.53953,17.8695,2.33388,1.25369,0.35308,34.2132
0.78,-72.4266,5266.23,0.661652,17.7945,2.56631,17.8439,2.63675,1.19103,0.224959,33.8821
0.79,-71.9479,5198.28,0.661273,17.6597,2.78253,17.7316,2.53035,1.21945,0.298192,34.8951
0.8,-71.6728,5159.07,0.661153,17.6212,2.83837,17.637,2.51893,1.20411,0.271226,34.4994
0.81,-71.1308,5084.92,0.660311,17.5295,2.96471,17.4621,3.17681,1.19277,0.294938,38.6103
