Temperature,E,Esquared,C1,C2,C3,Cv
0.98,-5.75411,38.1447,2.17036,2.25761,1.32614,5.24245
0.99,-5.54104,35.069,2.09824,2.107,1.3358,4.45454
1,-5.60805,35.8404,2.13923,2.11864,1.35019,4.39018
1.01,-5.52251,34.6718,2.08175,2.09625,1.34451,4.09141
1.02,-5.73686,37.8007,2.22184,2.18204,1.33299,4.69929
1.03,-5.52735,34.7944,2.0076,2.19244,1.32731,3.99929
1.04,-5.41546,33.2742,2.04162,2.05525,1.31859,3.64918
1.05,-5.42615,33.8177,2.08141,2.01641,1.32832,3.96793
1.06,-5.38898,33.1994,2.02754,2.00129,1.36015,3.70094
1.07,-5.2032,30.3923,1.96396,1.93148,1.30776,2.89891
1.08,-5.26598,31.0996,1.98711,1.9692,1.30966,2.88847
1.09,-5.20742,30.4901,1.95605,1.9644,1.28697,2.83888
1.1,-5.3004,31.9031,1.97996,2.03,1.29044,3.14778
1.11,-5.12194,29.5442,1.88999,1.94501,1.28694,2.68644
1.12,-5.23561,31.1144,1.93659,2.01317,1.28585,2.95185
1.13,-5.22173,30.7026,1.94689,1.97199,1.30285,2.69104
1.14,-5.1516,29.8899,1.90525,1.94922,1.29713,2.57846
1.15,-5.18337,30.1958,1.95897,1.93457,1.28982,2.51679
1.16,-5.02826,28.3774,1.88294,1.87416,1.27116,2.29936
1.17,-5.0911,28.9366,1.94772,1.88166,1.26171,2.20418
1.18,-5.07017,28.8531,1.92007,1.8866,1.2635,2.2597
1.19,-5.1285,29.6577,1.96666,1.94394,1.2179,2.37002
1.2,-4.89532,26.9584,1.8709,1.7459,1.27852,2.07932
1.21,-4.94366,27.3262,1.81976,1.85827,1.26562,1.97148
1.22,-4.85385,26.3319,1.8235,1.7618,1.26855,1.86246
1.23,-4.87799,26.5848,1.74966,1.86993,1.2584,1.84416
1.24,-4.95135,27.4171,1.78924,1.92912,1.23299,1.88686
1.25,-4.91116,26.9094,1.81949,1.83894,1.25274,1.78553
1.26,-4.80379,25.6953,1.7754,1.78977,1.23861,1.64961
1.27,-4.81637,25.8321,1.71985,1.82071,1.27581,1.63349
1.28,-4.82636,26.0351,1.75117,1.81866,1.25652,1.67319
1.29,-4.82026,26.006,1.74726,1.79584,1.27716,1.66523
1.3,-4.7949,25.5052,1.76687,1.76915,1.25887,1.48767
1.31,-4.81526,25.9582,1.75594,1.8175,1.24182,1.61495
1.32,-4.72588,24.5615,1.70792,1.75283,1.26513,1.27848
1.33,-4.71271,24.7013,1.76361,1.70574,1.24336,1.40858
1.34,-4.72461,24.7456,1.71388,1.74484,1.2659,1.34976
1.35,-4.74254,25.0327,1.70475,1.776,1.26179,1.39427
1.36,-4.78257,25.486,1.7706,1.77172,1.24025,1.41271
1.37,-4.67815,24.36,1.76144,1.7003,1.21641,1.31862
1.38,-4.76865,25.4203,1.77779,1.73669,1.25418,1.40743
1.39,-4.78164,25.4137,1.7872,1.76084,1.2336,1.3196
1.4,-4.66552,23.9509,1.73941,1.69085,1.23526,1.11417
1.41,-4.599,23.3703,1.70572,1.6743,1.21897,1.11638
1.42,-4.65151,24.0091,1.73279,1.68138,1.23735,1.17664
1.43,-4.56198,22.9891,1.69518,1.63815,1.22865,1.06484
1.44,-4.62559,23.5701,1.72829,1.64961,1.24769,1.04843
1.45,-4.63086,23.7429,1.7202,1.67725,1.23341,1.093
1.46,-4.64898,23.8891,1.68487,1.73657,1.22752,1.06782
1.47,-4.51995,22.5335,1.63302,1.68071,1.20621,0.973449
1.48,-4.55099,22.7885,1.65092,1.68471,1.21535,0.948252
