Temperature,E,Esquared,Binder,C1,C1fluc,C2,C2fluc,C3,C3fluc,Cv
0.01,-120,14400,0.666667,20,0,20,0,20,0,0
0.02,-120,14400,0.666667,20,0,20,0,20,0,0
0.03,-120,14400,0.666667,20,0,20,0,20,0,0
0.04,-120,14400,0.666667,20,0,20,0,20,0,0
0.05,-120,14400,0.666667,20,0,20,0,20,0,0
0.06,-120,14400,0.666667,20,0,20,0,20,0,0
0.07,-120,14400,0.666667,20,0,20,0,20,0,0
0.08,-119.999,14399.7,0.666667,20,0,20,0,20,0,0.144663
0.09,-119.995,14398.9,0.666666,20,0,20,0,20,0,0.374636
0.1,-119.992,14398.1,0.666666,20,0,20,0,20,0,0.514459
0.11,-119.986,14396.7,0.666666,20,0,20,0,20,0,0.752072
0.12,-119.969,14392.7,0.666665,20,0,20,0,20,0,1.35185
0.13,-119.964,14391.4,0.666664,20,0,20,0,20,0,1.47157
0.14,-119.944,14386.7,0.666663,20,0,19.9997,0.000312402,20,0,1.89178
0.15,-119.914,14379.4,0.666661,20,0,19.9995,0.00049975,20,0,2.66112
0.16,-119.896,14375.1,0.66666,19.9994,0.000562184,19.999,0.000999,20,0,2.83384
0.17,-119.861,14366.8,0.666657,19.9995,0.000449797,19.9983,0.00172202,20,0,3.57883
0.18,-119.811,14354.8,0.666655,19.9979,0.00205825,19.9995,0.00049975,20,0,3.94777
0.19,-119.785,14348.6,0.666652,19.996,0.003984,19.9968,0.0031525,20,0,4.2782
0.2,-119.741,14338.1,0.666649,19.9939,0.00606279,19.9952,0.0048141,20,0,4.69353
0.21,-119.516,14284.5,0.666631,19.9918,0.00813276,19.828,0.143858,20,0,8.62638
0.22,-119.649,14316.1,0.666644,19.9915,0.00839089,19.9934,0.00655644,20,0,5.0064
0.23,-119.61,14306.8,0.666641,19.9872,0.0126727,19.9929,0.00703727,20,0,5.3372
0.24,-119.553,14293.3,0.666635,19.9842,0.0155746,19.985,0.0147629,20,0,5.9502
0.25,-119.479,14275.8,0.666629,19.9784,0.0225574,19.9853,0.0144475,20,0,6.49292
0.26,-119.41,14259.2,0.666624,19.9745,0.0248379,19.9808,0.0188314,20,0,6.76925
0.27,-119.341,14242.8,0.666618,19.9716,0.0275816,19.9718,0.0293576,20,0,7.24714
0.28,-119.253,14222,0.666604,19.9571,0.041396,19.958,0.0413766,20,0,8.55144
0.29,-119.135,14193.8,0.666598,19.9089,0.085311,19.9499,0.04926,20,0,8.82337
0.3,-119.103,14186.3,0.666594,19.9382,0.0599479,19.9438,0.0592166,19.9997,0.00029991,8.66006
0.31,-118.949,14149.8,0.666578,19.9102,0.0869065,19.8618,0.135394,20,0,9.93921
0.32,-118.443,14030.5,0.666508,19.6661,0.270094,19.6804,0.260094,20,0,16.4636
0.33,-118.362,14011.3,0.666502,19.7084,0.279839,19.7509,0.284324,20,0,16.0283
0.34,-118.667,14083.3,0.666532,19.8535,0.149161,19.8356,0.179856,20,0,12.4762
0.35,-118.255,13986.1,0.666491,19.6144,0.422024,19.7786,0.215254,20,0,15.2409
0.36,-118.272,13990,0.666496,19.742,0.258387,19.7663,0.231053,20,0,13.9933
0.37,-117.615,13836.5,0.666361,19.6138,0.370719,19.4032,0.769289,19.998,0.001996,23.5476
0.38,-116.371,13548.2,0.666081,19.267,0.987019,18.6873,1.55529,19.9979,0.00210804,41.8615
0.39,-117.71,13858.2,0.666419,19.5771,0.399054,19.6049,0.386435,19.9975,0.00249375,17.1623
0.4,-116.65,13613.7,0.666039,19.1371,1.35129,19.2327,1.00701,19.9957,0.00428151,41.03
0.41,-116.049,13473.3,0.666099,18.9058,1.25932,19.1197,0.828628,19.9882,0.0116486,34.6218
0.42,-115.686,13389.5,0.666056,19.0904,0.968657,18.7461,1.31928,19.9805,0.0201198,35.17
0.43,-116.077,13482,0.665896,19.0724,1.24004,18.9963,1.51827,19.9936,0.00635904,43.6472
0.44,-116.059,13475.6,0.666092,19.1345,0.951912,19.0045,1.08008,19.9837,0.0160464,30.4338
0.45,-111.702,12484.7,0.665891,18.6951,1.10825,16.8821,3.18366,19.9735,0.0277859,36.2762
0.46,-109.229,11940.7,0.665589,17.5825,2.98037,16.2472,2.97442,19.9681,0.0318824,45.8904
0.47,-114.18,13045.8,0.665788,18.3949,1.77746,18.5917,1.57987,19.9665,0.0333894,39.2724
0.48,-111.94,12542.7,0.665392,17.1505,4.05456,18.2435,1.52428,19.9536,0.0452584,52.8226
0.49,-113.035,12788.1,0.665511,18.0039,2.33063,18.3298,1.71202,19.9608,0.0406979,46.8657
0.5,-111.674,12490.8,0.664605,18.003,2.83295,17.2557,4.93708,19.926,0.0725559,78.9906
0.51,-110.456,12219.3,0.664668,17.6933,2.62021,16.7508,5.04527,19.9194,0.0761036,71.6768
0.52,-112.467,12662.4,0.665253,17.9253,2.25617,17.919,2.47374,19.921,0.0769195,50.5906
0.53,-110.809,12295.3,0.664905,17.3635,3.24541,17.4378,2.88238,19.9219,0.0898398,58.8811
0.54,-110.772,12284.4,0.665175,17.6198,2.34354,17.101,2.89451,19.9201,0.0822595,47.9806
0.55,-106.46,11353.4,0.664395,16.3177,4.24787,15.3168,5.33559,19.8977,0.100765,64.6893
0.56,-107.229,11518,0.664396,16.8643,3.27944,15.4433,5.03341,19.8681,0.125062,63.5583
