Temperature,E,Esquared,Binder,C1,C1fluc,C2,C2fluc,C3,C3fluc,Cv
0.01,-80,6400,0.666667,20,0,20,0,20,0,0
0.02,-80,6400,0.666667,20,0,20,0,20,0,0
0.03,-80,6400,0.666667,20,0,20,0,20,0,0
0.04,-79.9994,6399.9,0.666667,20,0,20,0,20,0,0.129099
0.05,-79.9964,6399.42,0.666666,20,0,20,0,20,0,0.480794
0.06,-79.9874,6397.99,0.666666,20,0,20,0,20,0,1.15379
0.07,-79.971,6395.38,0.666665,20,0,20,0,20,0,1.95008
0.08,-79.95,6392.02,0.666663,20,0,20,0,20,0,2.7138
0.09,-79.9159,6386.57,0.666661,20,0,20,0,20,0,3.52796
0.1,-79.8801,6380.87,0.666658,20,0,20,0,20,0,3.99573
0.11,-79.8362,6373.87,0.666655,20,0,20,0,20,0,4.54639
0.12,-79.7944,6367.22,0.666653,20,0,20,0,20,0,4.66819
0.13,-79.7458,6359.48,0.666648,19.9995,0.00049975,20,0,20,0,5.23168
0.14,-79.687,6350.13,0.666643,19.998,0.001996,20,0,20,0,5.68828
0.15,-79.6404,6342.71,0.66664,19.9985,0.00149775,19.999,0.000999,20,0,5.58499
0.16,-79.5739,6332.15,0.666636,19.9975,0.00246887,19.998,0.00200845,20,0,5.76097
0.17,-79.5091,6321.89,0.666628,19.9949,0.00507399,19.9893,0.0105488,20,0,6.3562
0.18,-79.4088,6306.02,0.666613,19.9694,0.0296284,19.9813,0.0183262,19.9995,0.00049975,7.84852
0.19,-79.3873,6302.56,0.66662,19.9933,0.00664278,19.9905,0.0093607,19.9995,0.00049975,6.19425
0.2,-79.2607,6282.58,0.666599,19.978,0.0225399,19.9774,0.0221131,19.996,0.003984,8.02852
0.21,-79.2417,6279.56,0.666601,19.9735,0.0258096,19.9826,0.017911,19.9985,0.00147282,7.11554
0.22,-79.1691,6268.12,0.666588,19.9753,0.0250661,19.9633,0.0363263,19.9991,0.000874234,7.71636
0.23,-78.9639,6235.86,0.666549,19.9364,0.0605878,19.9519,0.046809,19.9878,0.0120877,10.5103
0.24,-78.827,6214.43,0.666509,19.9069,0.0915667,19.9498,0.0532637,19.9475,0.0497437,12.914
0.25,-78.8704,6221.16,0.666534,19.9194,0.0846706,19.9242,0.07499,19.9939,0.00603809,10.0032
