Temperature,E,Esquared,Binder,C1,C1fluc,C2,C2fluc,C3,C3fluc,Cv
0.01,-30,900,0.666667,10,0,10,0,10,0,0
0.02,-29.9995,899.971,0.666667,10,0,10,0,10,0,0.199079
0.03,-29.9959,899.752,0.666666,10,0,10,0,10,0,0.77959
0.04,-29.9876,899.256,0.666664,10,0,10,0,10,0,1.24874
0.05,-29.9692,898.155,0.666659,10,0,10,0,10,0,2.09469
0.06,-29.9489,896.945,0.666654,10,0,10,0,10,0,2.43222
0.07,-29.9252,895.53,0.666648,10,0,10,0,10,0,2.55373
0.08,-29.8929,893.605,0.666641,10,0,10,0,10,0,2.73016
0.09,-29.8692,892.19,0.666635,10,0,10,0,10,0,2.63714
0.1,-29.8419,890.563,0.666627,10,0,10,0,10,0,2.66739
0.11,-29.8205,889.295,0.666619,10,0,10,0,9.9995,0.00049975,2.64866
0.12,-29.7907,887.526,0.666611,10,0,9.999,0.000999,10,0,2.59861
0.13,-29.7626,885.852,0.666603,9.999,0.000999,10,0,9.9995,0.00049975,2.50843
0.14,-29.7286,883.844,0.666586,9.9987,0.00129831,9.99887,0.00112373,9.99638,0.00361186,2.76631
0.15,-29.6937,881.79,0.666559,9.99382,0.00613687,9.998,0.001996,9.99607,0.00390959,3.20429
0.16,-29.6481,879.114,0.666511,9.9978,0.00219516,9.99275,0.00719744,9.96293,0.0357004,4.09436
0.17,-28.7647,827.734,0.666153,9.99295,0.0070003,9.98783,0.0120268,9.54428,0.34349,11.2205
0.18,-29.4127,865.396,0.666232,9.98757,0.0122706,9.98215,0.0185314,9.80005,0.17987,8.94357
0.19,-29.1301,848.969,0.666045,9.98365,0.0160827,9.98028,0.0203359,9.64555,0.293015,11.1911
0.2,-28.9478,838.643,0.665638,9.96872,0.0330969,9.97222,0.0280035,9.4577,0.568611,16.743
0.21,-28.6955,824.228,0.665408,9.95572,0.0433147,9.95888,0.0430337,9.29487,0.660024,18.0705
0.22,-28.375,806.283,0.664846,9.94605,0.0530894,9.90498,0.0949952,9.14065,0.932018,23.6461
0.23,-28.2178,797.385,0.664818,9.93098,0.0686105,9.9244,0.0784846,8.9313,0.94468,21.5167
0.24,-27.8736,778.756,0.663668,9.8849,0.132152,9.89702,0.116121,8.69355,1.40499,31.5722
0.25,-27.1993,742.786,0.661619,9.8486,0.161628,9.86463,0.145649,8.14888,2.58246,47.7246
0.26,-26.8315,722.82,0.661554,9.79535,0.233468,9.82235,0.18879,7.89248,2.56686,42.7906
0.27,-25.6259,663.907,0.653068,9.7891,0.236521,9.78925,0.217784,6.53148,7.26106,99.07
0.28,-26.5265,707.895,0.659219,9.72227,0.313394,9.7654,0.266163,7.66218,3.78165,54.0587
0.29,-25.1797,640.32,0.654136,9.70075,0.333099,9.69262,0.322346,6.31495,6.22116,74.9453
0.3,-25.1682,639.504,0.654593,9.6268,0.404022,9.63508,0.384055,6.48808,5.50706,67.4142
0.31,-24.2491,595.705,0.650191,9.5651,0.506162,9.58355,0.463969,5.61337,7.3843,79.953
0.32,-23.336,550.964,0.651349,9.4672,0.560974,9.18205,0.951408,5.23377,6.65652,62.4593
0.33,-22.6358,519.364,0.648648,9.31438,0.876593,9.4397,0.631414,4.30443,6.8964,64.1431
0.34,-21.9113,486.262,0.649272,9.33855,0.739584,9.34585,0.697938,3.55377,5.36196,53.2761
0.35,-21.8076,482.422,0.647045,9.21557,0.901952,9.31863,0.742553,3.6349,6.37965,55.9358
0.36,-21.2595,457.47,0.650308,9.0843,1.11214,9.22075,0.846119,3.28437,4.99091,42.4699
0.37,-20.4521,423.032,0.651149,9.0291,1.1558,8.98675,1.26197,2.7114,4.33921,34.6603
0.38,-20.3834,420.737,0.64946,9.02988,1.12443,9.01865,1.09805,2.56933,3.57459,36.3912
0.39,-19.8906,400.459,0.65063,8.9487,1.29947,8.88508,1.40587,2.2778,2.93268,31.7046
0.4,-19.3597,378.795,0.652701,8.82152,1.36342,8.82425,1.40471,1.8498,1.81969,24.9823
0.41,-19.1529,371.154,0.651179,8.67008,1.58642,8.76122,1.44921,1.8769,2.0184,25.7017
0.42,-19.1341,370.443,0.651218,8.66525,1.59624,8.67248,1.53515,1.96328,1.96593,24.5467
0.43,-18.748,356.318,0.649086,8.54153,1.87008,8.5055,1.84217,1.86843,1.97146,26.1333
0.44,-18.6061,351.42,0.647468,8.47452,1.8556,8.3894,2.05107,1.9108,1.75844,27.0402
0.45,-18.2957,339.33,0.649334,8.32757,2.04487,8.4334,1.87866,1.6574,1.26653,22.6962
0.46,-18.0898,332.758,0.645145,8.25577,2.2307,8.33455,2.14023,1.60947,1.19062,26.0668
0.47,-17.8565,324.413,0.644761,8.1836,2.27389,8.1493,2.29521,1.65793,1.26016,25.1567
0.48,-17.5799,314.51,0.644939,8.06058,2.47811,8.10975,2.2774,1.5132,0.930976,23.6879
0.49,-17.3777,307.875,0.642761,8.0371,2.35462,7.90998,2.86837,1.54295,1.00711,24.5384
0.5,-17.2283,302.369,0.643647,7.878,2.58897,7.91465,2.65257,1.5478,0.977065,22.2235
0.51,-16.7941,288.022,0.640458,7.69763,2.98289,7.7369,2.81938,1.46235,0.698732,22.9963
0.52,-16.6294,283.235,0.637861,7.61097,3.30468,7.63847,2.94237,1.4916,0.802629,24.7652
0.53,-16.4687,278.045,0.63653,7.50575,3.28587,7.53993,3.12701,1.54577,0.986805,24.3032
0.54,-16.0506,264.523,0.633772,7.38957,3.17871,7.28455,3.66978,1.49838,0.875997,23.6657
0.55,-15.8276,257.936,0.631517,7.29255,3.35266,7.18293,3.91221,1.4742,0.780634,24.5355
