Temperature,E,Esquared,Binder,C1,C1fluc,C2,C2fluc,C3,C3fluc,Cv
1.42,-7.54268,67.6667,0.374857,2.80996,4.97229,3.55116,6.58408,1.3049,0.348019,5.34349
1.43,-7.76017,71.0458,0.407036,3.35279,6.24095,3.24383,5.71501,1.27592,0.302353,5.29389
1.44,-7.90081,74.4806,0.371037,3.26734,6.22349,3.445,6.43119,1.31658,0.382492,5.81496
1.45,-8.11218,77.8538,0.414821,3.07178,5.57022,3.84555,7.8558,1.31858,0.378388,5.72955
1.46,-8.12407,78.5938,0.379086,3.30671,6.19067,3.65744,6.8986,1.26551,0.30763,5.90794
1.47,-7.95073,73.8493,0.426134,3.62416,6.2891,3.17494,5.34514,1.25108,0.307524,4.92163
1.48,-7.59071,68.0358,0.398572,3.33577,5.93159,3.02543,5.30452,1.38589,0.472646,4.75576
1.49,-7.77885,71.1893,0.413111,3.17493,5.25731,3.41729,6.45696,1.30932,0.364407,4.81006
1.5,-7.97962,74.1976,0.434049,3.23254,5.22172,3.56635,6.72065,1.29868,0.339005,4.67704
1.51,-7.7367,71.5933,0.360134,3.52177,6.92404,3.04115,5.38861,1.28658,0.32607,5.14751
1.52,-7.76924,71.4801,0.398738,3.39781,5.71272,3.22033,5.76144,1.24838,0.299706,4.8126
1.53,-7.30275,63.76,0.363559,2.85534,4.81718,3.27962,5.87503,1.28107,0.345835,4.45549
1.54,-7.36526,64.5688,0.381902,3.36627,5.632,2.81765,4.4042,1.31474,0.351463,4.35225
1.55,-7.29642,62.4845,0.405746,2.92685,4.83623,3.16089,5.69557,1.35345,0.422473,3.84883
1.56,-7.42939,65.5926,0.376666,3.06173,5.59256,3.19727,5.28621,1.28313,0.322599,4.2722
1.57,-7.3764,64.2348,0.388651,3.36464,6.13899,2.84821,4.15875,1.27527,0.299395,3.98535
1.58,-7.18995,61.4226,0.370835,2.93191,4.88124,3.08356,5.04178,1.28423,0.305111,3.8965
1.59,-7.67366,69.3023,0.407772,3.49004,6.0768,3.00528,4.99705,1.29452,0.32988,4.12058
1.6,-6.71343,52.5288,0.405071,2.72803,3.85338,2.82216,4.3237,1.2771,0.323916,2.91356
1.61,-7.30897,63.6866,0.376413,3.24659,5.81358,2.87409,4.76382,1.31842,0.343331,3.96031
