Temperature,E,Esquared,Binder,C1,C1fluc,C2,C2fluc,C3,C3fluc,Cv
0.61,-25.6867,679.607,0.631065,12.0382,9.89319,12.1703,8.94333,1.64271,0.625308,53.2063
0.62,-25.185,652.714,0.631131,11.8864,9.22323,11.8588,9.3395,1.59221,0.572497,47.9435
0.63,-24.3597,615.948,0.621795,11.5653,9.94391,11.3441,11.7139,1.61984,0.723664,56.8213
0.64,-24.0488,601.82,0.619356,11.3324,11.5781,11.2787,10.5893,1.5958,0.616697,57.3135
0.65,-23.5381,575.657,0.619501,11.0985,10.1908,11.0244,11.2044,1.56509,0.673989,51.1598
0.66,-22.7434,539.943,0.615193,10.7453,11.1371,10.5988,11.6097,1.54983,0.567367,52.0706
0.67,-22.3515,523.978,0.608574,10.3205,12.3151,10.6261,11.1922,1.55359,0.561178,54.3302
0.68,-21.5991,490.832,0.606197,9.99841,12.3553,10.2603,11.9079,1.47155,0.483341,52.5772
0.69,-21.424,483.727,0.602267,9.92264,12.2756,10.1225,11.9805,1.52879,0.574196,51.966
0.7,-20.6405,451.622,0.597476,9.64741,12.5639,9.63545,13.8943,1.50711,0.606649,52.2262
0.71,-20.4394,444.131,0.595867,9.59333,12.3517,9.50194,12.3833,1.4881,0.648783,52.291
0.72,-19.4763,406.369,0.583875,9.25113,13.4448,8.90631,15.3605,1.45053,0.548227,52.1675
0.73,-18.8556,385.933,0.569129,8.94647,13.1176,8.5785,16.6916,1.47354,0.599075,57.0431
0.74,-17.8707,347.944,0.564251,8.60811,13.4566,7.97182,15.0652,1.41836,0.458335,52.1947
0.75,-18.1024,355.379,0.569061,8.16135,15.5754,8.64178,13.1098,1.42908,0.46517,49.2126
0.76,-17.7919,340.814,0.576904,8.49033,12.3734,7.9846,13.3003,1.45202,0.464223,42.0026
0.77,-17.1005,319.383,0.558515,7.69119,14.1107,8.11049,13.6605,1.43609,0.52204,45.4663
0.78,-16.7445,307.47,0.553737,7.85509,13.1582,7.59237,15.6503,1.42853,0.453866,44.5295
0.79,-16.5955,303.939,0.54904,7.46394,14.7773,7.81519,13.8957,1.45826,0.515533,45.7145
0.8,-15.2865,262.646,0.528491,7.38328,14.1894,6.60818,15.1685,1.43294,0.593728,45.2638
0.81,-14.7031,243.406,0.526953,6.85794,13.9899,6.62131,14.1137,1.33811,0.355417,41.4944
0.82,-14.6802,246.051,0.507409,6.26736,16.5522,7.15128,14.3585,1.39914,0.437227,45.4239
0.83,-13.9075,223.792,0.49495,6.19581,14.9255,6.45271,14.6034,1.38311,0.432387,44.0901
0.84,-13.6429,213.345,0.497385,6.43288,15.2192,5.97715,14.5167,1.33906,0.412974,38.5728
0.85,-12.6011,185.024,0.473179,5.50534,15.5381,5.84514,13.8542,1.38823,0.510931,36.3125
0.86,-13.2057,201.192,0.490216,6.31248,14.419,5.66886,14.799,1.33624,0.371332,36.2384
0.87,-12.9402,196.114,0.479997,5.72387,14.3123,5.98797,13.9259,1.34526,0.409756,37.8728
0.88,-12.3578,177.672,0.486067,5.65429,13.7574,5.47651,13.3722,1.35157,0.414645,32.2272
0.89,-12.2389,174.856,0.471442,5.74051,13.6624,5.25374,14.0034,1.37974,0.410062,31.6437
0.9,-12.2781,175.32,0.480111,5.36289,13.9302,5.70756,13.2185,1.30415,0.330293,30.3313
0.91,-11.828,164.255,0.472154,5.12754,13.0012,5.44278,12.4722,1.38435,0.472025,29.4097
0.92,-10.8658,144.123,0.414926,5.23366,13.6408,4.42925,14.0083,1.32455,0.388342,30.7854
