Temperature,E,Esquared,Binder,C1,C1fluc,C2,C2fluc,C3,C3fluc,Cv
0.01,-60,3600,0.666667,20,0,20,0,20,0,0
0.02,-59.9999,3599.99,0.666667,20,0,20,0,20,0,0.0373063
0.03,-59.9944,3599.33,0.666666,20,0,20,0,20,0,1.00723
0.04,-59.9759,3597.11,0.666665,20,0,20,0,20,0,2.44371
0.05,-59.9398,3592.79,0.666663,20,0,20,0,20,0,4.05837
0.06,-59.8978,3587.76,0.66666,20,0,20,0,20,0,4.67817
0.07,-59.8444,3581.38,0.666657,20,0,20,0,20,0,5.25986
0.08,-59.7959,3575.58,0.666654,20,0,20,0,20,0,5.3661
0.09,-59.7378,3568.65,0.66665,20,0,20,0,19.9995,0.00049975,5.52822
0.1,-59.6766,3561.35,0.666645,20,0,19.998,0.001996,19.9995,0.00049975,5.77624
0.11,-59.623,3554.97,0.666642,19.9995,0.00049975,19.9995,0.00049975,19.9987,0.00129831,5.4682
0.12,-59.3782,3525.87,0.666626,19.9995,0.00049975,19.9989,0.00106137,19.974,0.0252766,7.49541
0.13,-59.5055,3541,0.666631,19.9988,0.00124844,19.9982,0.00175939,19.9972,0.00281702,5.57273
0.14,-59.3929,3527.68,0.666608,19.9965,0.00352499,19.9959,0.00407079,19.9461,0.0520809,7.98419
0.15,-59.2514,3510.9,0.666604,19.9921,0.00781298,19.9921,0.00784989,19.973,0.0262473,7.34062
0.16,-59.066,3489.17,0.666526,19.9931,0.00686472,19.9904,0.00949558,19.8234,0.167871,14.5301
0.17,-59.0765,3490.39,0.666533,19.9856,0.0141562,19.98,0.020564,19.8071,0.164372,12.2706
0.18,-57.9317,3356.89,0.666349,19.961,0.037654,19.9677,0.0312684,19.0042,0.50567,24.8036
0.19,-58.8267,3461.08,0.666474,19.9634,0.0373086,19.9673,0.0336457,19.7433,0.231092,14.0191
0.2,-57.8548,3348.46,0.666159,19.9573,0.0418996,19.9363,0.0639596,18.9677,0.936592,32.2256
0.21,-56.6514,3211.12,0.665953,19.8425,0.151177,19.9246,0.0777467,18.2714,1.48406,39.3893
0.22,-57.1308,3265.78,0.665921,19.8451,0.147565,19.9035,0.0961176,18.6166,1.48084,38.3024
0.23,-56.8488,3233.88,0.665812,19.8669,0.132384,19.8707,0.135097,18.2255,1.4703,39.7302
0.24,-56.0461,3144.1,0.665439,19.8175,0.184818,19.8018,0.211557,17.7541,2.1883,50.9542
0.25,-55.5884,3093.24,0.66532,19.7556,0.283325,19.7673,0.250777,17.4148,2.47424,50.7555
0.26,-54.5477,2980.64,0.664389,19.6635,0.380805,19.4983,0.590922,16.7903,3.51269,76.7877
0.27,-54.3822,2963.67,0.663943,19.6156,0.449909,19.5559,0.522828,16.6629,5.05417,85.6598
0.28,-53.129,2828.18,0.664138,19.5118,0.59766,19.4404,0.684521,15.6037,4.32889,69.9798
0.29,-51.4166,2650.59,0.663256,19.0471,1.08564,18.2421,0.754913,15.8458,4.88383,82.2957
0.3,-49.7617,2488.47,0.660385,19.3096,0.813043,19.1328,1.02322,12.6817,11.4949,135.98
0.31,-49.0549,2418.39,0.66014,19.2115,0.926761,19.0749,1.02293,12.0788,11.2623,124.965
0.32,-45.0399,2047.16,0.654635,19.0132,1.14659,18.2578,1.57268,8.77396,22.68,181.365
0.33,-45.9528,2125.46,0.65815,18.148,1.79023,18.902,1.28966,10.0813,15.5912,126.747
0.34,-43.2887,1895.86,0.650888,18.6356,1.75704,18.6994,1.50867,6.7331,22.5828,189.907
0.35,-41.1042,1702.58,0.656062,18.4549,1.90584,18.4948,1.65805,4.65739,13.2431,106.343
