Temperature,E,Esquared,C1,C2,C3,Cv
0.85,-6.60011,51.4843,0.128996,0.1276765,0.07333300000000001,10.9658
0.86,-6.43537,47.9476,0.11559749999999999,0.133927,0.0722445,8.83386
0.87,-6.3713,46.7869,0.1194935,0.1260125,0.0730585,8.1827
0.88,-6.1231,43.6571,0.1188595,0.1159335,0.07136200000000001,7.96064
0.89,-5.92824,40.455,0.1147875,0.11438699999999999,0.06723749999999999,6.70495
0.9,-6.21379,44.8717,0.1197885,0.11993450000000001,0.070966,7.72905
0.91,-5.93818,40.7382,0.117488,0.111062,0.068359,6.61303
0.92,-6.19999,44.1832,0.11995499999999999,0.119224,0.0708205,6.78567
0.93,-5.94781,40.5248,0.111577,0.1175805,0.068233,5.95255
0.94,-5.87746,39.5463,0.11556200000000001,0.10914850000000001,0.0691625,5.66062
0.95,-5.72194,37.6657,0.108311,0.10766899999999999,0.070117,5.45722
0.96,-5.78055,38.4368,0.1082125,0.1118105,0.0690045,5.44924
0.97,-5.7832,37.8083,0.111812,0.1096655,0.0676825,4.63689
0.98,-5.75411,38.1447,0.108518,0.11288050000000001,0.066307,5.24245
0.99,-5.54104,35.069,0.104912,0.10535000000000001,0.06679,4.45454
1.0,-5.60805,35.8404,0.1069615,0.105932,0.0675095,4.39018
1.01,-5.52251,34.6718,0.1040875,0.1048125,0.06722550000000001,4.09141
1.02,-5.73686,37.8007,0.111092,0.109102,0.0666495,4.69929
1.03,-5.52735,34.7944,0.10038,0.109622,0.0663655,3.99929
1.04,-5.41546,33.2742,0.102081,0.1027625,0.0659295,3.64918
1.05,-5.42615,33.8177,0.1040705,0.10082050000000001,0.066416,3.96793
1.06,-5.38898,33.1994,0.10137700000000001,0.1000645,0.0680075,3.70094
1.07,-5.2032,30.3923,0.098198,0.09657400000000001,0.065388,2.89891
1.08,-5.26598,31.0996,0.0993555,0.09846,0.065483,2.88847
1.09,-5.20742,30.4901,0.0978025,0.09822,0.0643485,2.83888
1.1,-5.3004,31.9031,0.098998,0.10149999999999999,0.064522,3.14778
1.11,-5.12194,29.5442,0.0944995,0.09725049999999999,0.064347,2.68644
1.12,-5.23561,31.1144,0.0968295,0.10065850000000001,0.0642925,2.95185
1.13,-5.22173,30.7026,0.0973445,0.09859949999999999,0.0651425,2.69104
1.14,-5.1516,29.8899,0.0952625,0.09746099999999999,0.0648565,2.57846
1.15,-5.18337,30.1958,0.09794850000000001,0.0967285,0.06449099999999999,2.51679
1.16,-5.02826,28.3774,0.09414700000000001,0.093708,0.063558,2.29936
1.17,-5.0911,28.9366,0.097386,0.094083,0.0630855,2.20418
1.18,-5.07017,28.8531,0.09600349999999999,0.09433,0.06317500000000001,2.2597
1.19,-5.1285,29.6577,0.098333,0.097197,0.060895,2.37002
1.2,-4.89532,26.9584,0.093545,0.087295,0.06392600000000001,2.07932
1.21,-4.94366,27.3262,0.090988,0.09291350000000001,0.063281,1.97148
1.22,-4.85385,26.3319,0.09117499999999999,0.08809,0.0634275,1.86246
1.23,-4.87799,26.5848,0.087483,0.09349650000000001,0.06292,1.84416
1.24,-4.95135,27.4171,0.089462,0.096456,0.0616495,1.88686
1.25,-4.91116,26.9094,0.0909745,0.091947,0.062637,1.78553
1.26,-4.80379,25.6953,0.08877,0.0894885,0.0619305,1.64961
1.27,-4.81637,25.8321,0.0859925,0.0910355,0.0637905,1.63349
1.28,-4.82636,26.0351,0.0875585,0.090933,0.062826,1.67319
1.29,-4.82026,26.006,0.087363,0.08979200000000001,0.063858,1.66523
1.3,-4.7949,25.5052,0.08834349999999999,0.0884575,0.0629435,1.48767
1.31,-4.81526,25.9582,0.087797,0.090875,0.06209099999999999,1.61495
1.32,-4.72588,24.5615,0.085396,0.08764150000000001,0.06325650000000001,1.27848
1.33,-4.71271,24.7013,0.0881805,0.085287,0.062168,1.40858
1.34,-4.72461,24.7456,0.085694,0.087242,0.063295,1.34976
1.35,-4.74254,25.0327,0.0852375,0.0888,0.06308949999999999,1.39427
1.36,-4.78257,25.486,0.08853,0.088586,0.062012500000000005,1.41271
1.37,-4.67815,24.36,0.088072,0.085015,0.0608205,1.31862
1.38,-4.76865,25.4203,0.0888895,0.08683450000000001,0.062709,1.40743
1.39,-4.78164,25.4137,0.08936,0.088042,0.06168,1.3196
1.4,-4.66552,23.9509,0.08697049999999999,0.08454249999999999,0.061763,1.11417
1.41,-4.599,23.3703,0.085286,0.083715,0.0609485,1.11638
1.42,-4.65151,24.0091,0.08663950000000001,0.084069,0.0618675,1.17664
1.43,-4.56198,22.9891,0.084759,0.0819075,0.0614325,1.06484
1.44,-4.62559,23.5701,0.0864145,0.0824805,0.062384499999999996,1.04843
1.45,-4.63086,23.7429,0.08601,0.08386249999999999,0.061670499999999996,1.093
1.46,-4.64898,23.8891,0.0842435,0.0868285,0.061376,1.06782
1.47,-4.51995,22.5335,0.081651,0.0840355,0.0603105,0.973449
1.48,-4.55099,22.7885,0.082546,0.08423549999999999,0.060767499999999995,0.948252
1.49,-4.56212,22.9876,0.0820035,0.085073,0.0610295,0.979501
1.5,-4.60637,23.5078,0.08413699999999999,0.084255,0.061926999999999996,1.01738
1.51,-4.51452,22.4848,0.0812095,0.083475,0.061042,0.922696
1.52,-4.55671,22.9171,0.0830935,0.082978,0.061763500000000006,0.932061
1.53,-4.4976,22.183,0.08387599999999999,0.0801015,0.060902500000000005,0.834986
1.54,-4.58721,23.3336,0.08423699999999999,0.08400149999999999,0.0611225,0.966033
