Temperature,E,Esquared,E4,C1,C2,C12,C3,Cv,V
1.69,-4.32902,20.4882,623.417,0.0308872,0.03156,0.0312236,0.0241332,0.611941,0.504948
1.7,-4.52182,22.8875,853.268,0.0299008,0.0352016,0.0325512,0.025334,0.8445,0.457039
1.71,-4.35996,20.8793,651.892,0.0314548,0.0307048,0.0310798,0.0250396,0.639523,0.501548
1.72,-4.35304,20.788,646.421,0.0316392,0.0309552,0.0312972,0.0244664,0.621621,0.501379
1.73,-4.47928,22.2504,775.429,0.0313268,0.0333548,0.0323408,0.024904,0.730559,0.477912
1.74,-4.4626,21.9164,712.391,0.0323624,0.03274,0.0325512,0.0241496,0.661131,0.505624
1.75,-4.23994,19.5915,555.547,0.0294496,0.031162,0.0303058,0.0241872,0.527141,0.517535
1.76,-4.2569,19.7186,557.49,0.0292372,0.0311016,0.0301694,0.0247992,0.515684,0.52207
1.77,-4.53772,23.0695,879.143,0.038022,0.0287028,0.0333624,0.0240296,0.791157,0.449368
1.78,-4.58154,23.4544,946.436,0.03274,0.0346984,0.0337192,0.0241924,0.777639,0.426515
1.79,-4.43092,21.4832,674.23,0.032654,0.0317736,0.0322138,0.0241908,0.577419,0.513043
1.8,-4.36438,20.9232,662.335,0.031122,0.0308072,0.0309646,0.0253584,0.578829,0.495688
1.81,-4.46614,22.1332,767.828,0.0317204,0.0339492,0.0328348,0.0236532,0.667505,0.477539
1.82,-4.32598,20.5195,623.023,0.030906,0.031132,0.031019,0.0244816,0.545054,0.506772
1.83,-4.37968,20.9868,645.335,0.0319368,0.0315416,0.0317392,0.0241152,0.539044,0.511604
1.84,-4.41076,21.485,706.472,0.033634,0.0308412,0.0322376,0.02374,0.599656,0.489844
1.85,-4.4305,21.4912,670.156,0.031124,0.0334628,0.0322934,0.0240232,0.544003,0.516347
1.86,-4.42012,21.5362,710.494,0.0325072,0.0307324,0.0316198,0.0251628,0.577737,0.489377
1.87,-4.20242,19.2777,540.35,0.0304932,0.0295432,0.0300182,0.024012,0.462514,0.515333
1.88,-4.36774,20.9196,645.938,0.03092,0.0319216,0.0314208,0.0245132,0.521296,0.508003
1.89,-4.6146,23.5278,870.394,0.0318992,0.0359112,0.0339052,0.0244816,0.625186,0.475877
